# LANCTL error catalog - generated; do not edit manually
# FORMAT: ERROR_ID | LEVEL | SOURCE_FILE | LINE | ORIGIN | KIND
# Static IDs derive from semantic points; literal runtime events use origin + code
0e2BB110E8 | 35 | src/lanctl/core/plugin_storage.py | 26 | src.lanctl.core.plugin_storage.PluginStorage.load | raise
0e2BF371E3 | 36 | src/lanctl/apps/wire/idf/database.py | 372 | src.lanctl.apps.wire.idf.database.IDFDatabaseManager._validate_database | raise
0e2C443739 | 43 | src/lanctl/core/database.py | 459 | src.lanctl.core.database.DeviceDatabase.set_value | raise
0e2C676101 | 32 | src/lanctl/apps/monitor/configuration.py | 327 | src.lanctl.apps.monitor.configuration.AssignmentManager.unassign.remove | raise
0e2CDDA89A | 36 | src/lanctl/apps/wire/tui/app.py | 1281 | src.lanctl.apps.wire.tui.app.LanwireTui._execute_wire_side_action | raise
0e2D3F04CC | 42 | src/lanctl/apps/access/service.py | 147 | src.lanctl.apps.access.service.AccessService.enable.operation | raise
0e2DA6121F | 39 | src/lanctl/apps/ip/interfaces/cli/commands/access.py | 145 | src.lanctl.apps.ip.interfaces.cli.commands.access.run_access | raise
0e2DE5CA46 | 37 | src/lanctl/apps/ip/infrastructure/services/scan_profiles.py | 33 | src.lanctl.apps.ip.infrastructure.services.scan_profiles.apply_profile | raise
0e2E1E8C81 | 16 | src/lanctl/core/plugins/builtin.py | 260 | src.lanctl.core.plugins.builtin._install_builtin_package | diagnostic
0e2E5F2069 | 33 | src/lanctl/core/plugins/wol_runtime.py | 39 | src.lanctl.core.plugins.wol_runtime.send_magic_packet | raise
0e2EC40699 | 32 | src/lanctl/apps/ip/interfaces/cli/commands/smb.py | 223 | src.lanctl.apps.ip.interfaces.cli.commands.smb.run_smb | raise
0e2F25D861 | 31 | src/lanctl/apps/ip/interfaces/cli/commands/element.py | 124 | src.lanctl.apps.ip.interfaces.cli.commands.element.run_element | raise
0e2F36DADE | 46 | src/lanctl/core/file_transaction.py | 69 | src.lanctl.core.file_transaction.InterProcessLock.acquire | raise
0e2F6DDC59 | 42 | src/lanctl/core/persistence.py | 123 | src.lanctl.core.persistence.verify_export | raise
